Person,Product,crunchy,creamy,sweet,chocolaty,healthful,calorie,rich,addiction,accessible,handy,wrapping,image,commercial,,,,,,,,,,,
11,Balisto,4.00,2.00,3.00,3.00,4.00,4.00,3.00,3.00,4.00,4.00,4.00,3.00,4.00,,,,,,,,,,,
11,Bounty,3.00,4.00,4.00,4.00,1.00,4.00,4.00,4.00,4.00,4.00,4.00,3.00,3.00,,,,,,,,,,,
11,Duplo,4.00,2.00,4.00,4.00,1.00,4.00,4.00,3.00,4.00,4.00,4.00,3.00,3.00,,,,,,,,,,,
11,KinderBueno,3.00,3.00,3.00,3.00,1.00,4.00,4.00,1.00,4.00,4.00,4.00,3.00,3.00,,,,,,,,,,,
11,KinderRiegel,4.00,5.00,5.00,5.00,1.00,4.00,4.00,5.00,5.00,5.00,5.00,5.00,5.00,,,,,,,,,,,
11,KitKat,3.00,3.00,4.00,4.00,1.00,4.00,4.00,3.00,4.00,4.00,4.00,3.00,3.00,,,,,,,,,,,
11,Lion,4.00,4.00,4.00,4.00,1.00,4.00,4.00,3.00,4.00,4.00,4.00,3.00,3.00,,,,,,,,,,,
11,Mars,3.00,4.00,4.00,4.00,1.00,4.00,4.00,4.00,4.00,4.00,4.00,3.00,3.00,,,,,,,,,,,
11,Snickers,4.00,4.00,4.00,4.00,1.00,4.00,4.00,3.00,4.00,4.00,4.00,4.00,3.00,,,,,,,,,,,
11,Twix,4.00,3.00,3.00,4.00,1.00,4.00,4.00,3.00,4.00,4.00,4.00,3.00,3.00,,,,,,,,,,,
12,Balisto,5.00,2.00,5.00,3.00,4.00,5.00,4.00,2.00,4.00,5.00,5.00,5.00,5.00,,,,,,,,,,,
12,Bounty,1.00,4.00,5.00,4.00,5.00,5.00,4.00,5.00,5.00,5.00,5.00,5.00,2.00,,,,,,,,,,,
12,Duplo,5.00,4.00,5.00,5.00,4.00,4.00,4.00,5.00,5.00,5.00,5.00,5.00,5.00,,,,,,,,,,,
12,KinderBueno,5.00,5.00,5.00,2.00,4.00,4.00,4.00,5.00,5.00,5.00,5.00,4.00,4.00,,,,,,,,,,,
12,KinderRiegel,2.00,5.00,5.00,5.00,4.00,4.00,3.00,5.00,5.00,5.00,5.00,5.00,5.00,,,,,,,,,,,
12,KitKat,5.00,1.00,5.00,4.00,4.00,3.00,3.00,2.00,5.00,5.00,5.00,5.00,5.00,,,,,,,,,,,
12,Lion,4.00,3.00,5.00,4.00,4.00,5.00,5.00,3.00,5.00,5.00,5.00,5.00,5.00,,,,,,,,,,,
12,Mars,1.00,5.00,5.00,3.00,5.00,5.00,5.00,5.00,4.00,5.00,5.00,5.00,5.00,,,,,,,,,,,
12,Snickers,4.00,3.00,5.00,4.00,5.00,5.00,5.00,3.00,4.00,5.00,5.00,5.00,3.00,,,,,,,,,,,
12,Twix,5.00,4.00,5.00,3.00,4.00,5.00,5.00,3.00,5.00,5.00,5.00,5.00,5.00,,,,,,,,,,,
13,Balisto,5.00,1.00,3.00,4.00,3.00,1.00,2.00,2.00,2.00,4.00,4.00,5.00,2.00,,,,,,,,,,,
13,Bounty,1.00,4.00,5.00,3.00,1.00,4.00,4.00,3.00,4.00,3.00,3.00,2.00,2.90,,,,,,,,,,,
13,Duplo,2.00,1.00,2.00,5.00,2.00,3.00,3.00,1.00,4.00,3.00,3.00,4.00,2.00,,,,,,,,,,,
13,KinderBueno,4.00,4.00,5.00,4.00,1.00,4.00,3.00,2.00,4.00,3.00,4.00,3.00,1.00,,,,,,,,,,,
13,KinderRiegel,1.00,2.00,3.00,5.00,2.00,4.00,3.00,2.00,3.00,3.00,3.00,5.00,5.00,,,,,,,,,,,
